Wall time,Step,Value
1699612717.8336105,0,0.656399130821228
1699612920.7813616,1,0.668297290802002
1699613123.8773184,2,0.672818124294281
1699613325.1062558,3,0.6756628751754761
1699613525.5756426,4,0.6793071031570435
1699613725.188703,5,0.6824361681938171
1699613926.3641956,6,0.6861554384231567
1699614125.768126,7,0.6901925802230835
1699614328.636949,8,0.6949334740638733
1699614531.1297722,9,0.7001471519470215
1699614733.9452147,10,0.7060972452163696
1699614938.154298,11,0.7090298533439636
1699615141.4905982,12,0.7121144533157349
1699615345.0677888,13,0.7142336964607239
1699615547.572783,14,0.7171100378036499
1699615747.934744,15,0.7191888093948364
1699615952.6887348,16,0.7221371531486511
1699616154.8593633,17,0.7246690392494202
