Wall time,Step,Value
1698132417.1899786,0,0.6908130049705505
1698133049.3018537,1,0.6906532645225525
1698133653.3034768,2,0.6909229159355164
1698134232.4572988,3,0.6905097961425781
1698134813.7391975,4,0.6905060410499573
1698135397.5963833,5,0.6937285661697388
1698135997.6410573,6,0.6903877258300781
1698136599.1527781,7,0.6906443238258362
1698137200.579565,8,0.6905862092971802
1698137802.8622367,9,0.6921457648277283
1698138402.6632566,10,0.6905871033668518
1698139000.333527,11,0.6904902458190918
1698139589.3179932,12,0.6905184388160706
1698140167.9024653,13,0.6910102963447571
1698140747.3297207,14,0.6905695796012878
1698141326.2750096,15,0.6906169056892395
1698141902.1507607,16,0.6908522248268127
1698142483.4045184,17,0.6930424571037292
1698143074.4785535,18,0.695171594619751
1698143652.4834507,19,0.6925565600395203
